TP9,AF7,AF8,TP10,Right AUX,Color
103.516,35.156,36.621,52.734,-19.043,0
-74.219,32.227,34.18,-17.09,-41.992,0
-76.172,33.691,38.086,-16.113,-7.324,0
132.324,33.691,32.715,57.617,58.105,0
133.301,34.18,33.691,63.477,74.219,0
-56.152,36.133,34.668,-6.836,24.902,0
-16.602,26.367,35.156,10.254,-14.16,0
83.984,27.832,33.691,45.41,36.621,0
-68.848,32.715,37.109,-10.254,19.531,0
149.414,34.18,35.156,56.641,56.641,0
130.371,31.25,31.25,63.477,42.48,0
-3.906,29.785,32.715,3.906,51.758,0
117.188,32.715,33.691,62.012,37.598,0
42.48,33.203,29.785,34.18,-5.371,0
139.648,32.715,33.203,43.457,-19.531,0
45.41,27.832,34.668,22.461,49.805,0
17.09,31.738,31.25,1.953,22.949,0
42.969,32.227,36.133,25.391,102.051,0
20.02,28.32,38.086,32.227,56.152,0
-42.48,34.668,39.551,10.742,2.93,0
-53.223,35.156,36.133,-2.93,-43.945,0
26.855,28.32,38.574,28.32,12.207,0
131.836,28.809,28.32,58.105,35.645,0
86.426,30.762,30.273,50.293,56.152,0
-62.012,31.738,30.762,-4.883,29.297,0
-52.246,29.785,30.273,-9.766,31.738,0
-66.895,33.691,39.551,-5.371,-1.465,0
108.398,29.297,35.156,46.387,-21.973,0
91.797,29.297,32.715,35.156,29.785,0
-64.941,29.297,29.297,-27.344,21.484,0
52.246,29.785,29.785,16.602,10.254,0
146.484,31.738,27.344,60.547,62.988,0
88.867,28.32,31.738,41.016,-7.324,0
111.328,25.879,34.668,55.664,29.785,0
-17.578,29.785,33.691,6.348,41.504,0
25.391,31.738,36.133,20.02,45.41,0
-73.73,34.18,41.016,-7.812,-20.508,0
75.684,37.109,35.645,43.945,20.02,0
27.344,31.25,36.133,35.645,26.367,0
-43.457,40.039,36.621,-4.395,44.922,0
-41.016,31.25,37.109,-2.441,-19.531,0
15.137,31.25,33.691,28.809,13.672,0
158.203,33.691,30.762,67.383,55.176,0
-23.926,28.809,34.668,-3.906,59.57,0
152.832,31.738,34.668,66.895,-17.09,0
85.449,33.691,32.227,42.969,41.992,0
106.445,29.297,34.18,43.457,57.129,0
132.812,33.691,35.156,61.523,23.438,0
-44.922,34.18,37.598,2.441,-1.465,0
-71.777,37.109,40.527,-7.324,4.395,0
-78.613,34.18,38.086,-11.23,0,0
-76.172,35.156,34.668,-10.254,3.418,0
129.395,33.691,33.691,55.176,60.547,0
-60.059,34.18,37.109,-6.348,-21.484,0
-43.457,39.062,33.691,-3.906,-27.832,0
37.109,32.715,34.668,37.598,46.875,0
156.738,34.18,34.18,75.684,27.832,0
-64.941,27.832,40.039,-3.906,7.324,0
147.461,32.715,34.668,62.012,78.125,0
-88.379,31.25,34.668,-23.438,-41.992,0
-57.617,38.574,36.621,-20.508,-30.273,0
77.148,37.598,34.668,37.598,19.531,0
117.188,32.715,31.738,42.48,73.73,0
69.824,32.715,40.527,36.133,35.645,0
-62.5,40.527,41.992,-21.484,35.645,0
-75.195,40.039,38.086,-28.809,41.992,0
61.523,34.18,25.879,36.133,20.996,0
-0.977,33.691,29.785,29.297,29.785,0
-39.551,35.156,27.832,4.883,-28.809,0
-9.766,34.668,31.738,23.438,39.551,0
-73.242,30.273,35.645,-11.23,-15.625,0
-56.152,31.25,38.086,3.418,-10.254,0
88.379,34.668,35.645,48.828,30.273,0
-49.805,32.715,35.645,-10.254,63.477,0
-75.195,34.18,36.621,-10.742,7.324,0
143.555,33.691,31.738,61.523,52.246,0
127.441,33.691,33.203,56.641,66.895,0
4.395,37.598,30.762,-9.277,9.766,0
76.172,36.133,30.762,36.621,2.93,0
105.469,35.156,39.062,58.105,16.602,0
-79.59,32.715,36.133,-10.742,38.574,0
41.992,34.18,36.133,38.574,11.719,0
37.598,30.273,35.645,25.391,11.719,0
54.199,32.715,34.18,28.809,0.977,0
98.633,30.762,36.621,45.898,61.035,0
74.219,37.598,39.062,41.504,71.289,0
-20.996,31.738,38.086,10.254,-30.762,0
-79.59,33.203,32.227,-15.137,16.113,0
3.418,34.18,35.645,-1.953,-34.668,0
40.527,30.762,39.062,35.156,7.812,0
140.137,31.25,36.621,59.082,6.836,0
78.613,34.18,33.691,49.316,26.855,0
155.762,31.25,39.062,87.891,52.734,0
22.461,36.621,36.621,14.648,49.316,0
-75.195,35.156,39.551,-16.113,36.621,0
-74.707,38.574,33.203,-20.508,-8.789,0
135.254,36.621,35.156,62.012,59.57,0
-20.02,35.645,32.715,3.906,-31.738,0
131.836,34.668,33.203,65.43,28.809,0
-44.922,37.598,39.062,11.23,-7.812,0
163.574,36.621,31.738,71.289,20.508,0
-65.918,34.18,37.109,-6.836,49.805,0
128.906,35.645,37.598,62.5,30.762,0
-23.926,32.227,34.668,4.395,0.488,0
25.391,34.18,37.109,37.109,-3.906,0
69.336,35.156,36.133,44.922,45.898,0
2.93,36.621,36.133,9.766,15.625,0
106.934,30.273,35.156,39.551,55.176,0
90.82,30.762,33.691,40.527,67.871,0
134.766,32.227,35.156,62.988,9.277,0
36.133,33.691,36.133,29.297,33.691,0
123.047,35.156,34.18,57.129,100.586,0
95.215,35.645,37.598,41.504,68.359,0
50.781,35.156,35.156,28.32,-7.812,0
-83.496,34.668,37.598,-7.812,18.066,0
-65.918,34.18,28.809,-21.484,11.719,0
59.57,32.227,35.645,41.504,87.891,0
-77.148,32.227,37.109,-16.113,19.043,0
138.184,38.574,31.25,49.805,88.379,0
-54.199,37.598,35.645,-14.648,12.207,0
100.098,35.156,31.738,43.945,53.711,0
123.535,36.621,34.18,55.664,69.336,0
5.859,37.109,35.645,22.461,-0.977,0
26.855,29.297,41.992,24.902,-2.441,0
165.527,31.25,38.086,63.477,6.348,0
38.574,37.109,35.156,35.645,-7.812,0
-73.242,37.109,33.203,-13.672,3.906,0
46.875,36.133,33.691,39.551,44.922,0
89.355,32.715,31.25,54.688,27.344,0
98.633,32.715,30.762,47.363,52.246,0
146.973,37.598,32.227,79.102,47.852,0
155.762,39.062,32.715,57.129,-20.02,0
117.676,34.18,37.109,58.105,75.195,0
75.684,33.691,35.645,40.039,7.324,0
101.562,34.668,35.645,56.152,51.758,0
10.254,29.785,30.273,16.113,-18.555,0
61.035,29.785,30.762,37.109,39.062,0
101.074,29.297,28.809,49.805,106.445,0
148.438,35.156,35.645,71.289,51.27,0
29.297,34.18,38.086,34.18,75.195,0
-71.777,31.738,38.086,-20.02,31.25,0
-41.992,34.18,39.551,-5.371,-10.742,0
-15.137,31.738,36.621,0.977,-20.02,0
-46.875,33.691,33.203,-17.09,60.059,0
129.395,32.227,32.227,58.105,32.227,0
21.484,36.621,33.691,22.461,37.109,0
96.191,29.785,26.855,48.34,15.137,0
144.531,34.668,28.809,57.129,42.48,0
112.305,32.715,30.273,45.898,-0.488,0
3.418,29.785,31.738,20.02,60.547,0
-73.73,28.809,34.18,-10.742,-36.621,0
51.27,35.645,32.227,37.109,27.344,0
-78.125,35.645,34.668,-16.602,-1.465,0
-11.719,34.18,33.203,-4.395,20.996,0
-58.105,34.668,34.668,-0.977,34.668,0
-61.523,36.133,35.156,-9.766,-8.301,0
25.391,36.133,35.156,24.902,2.93,0
124.512,36.621,35.645,67.383,69.336,0
35.156,36.621,35.156,12.207,46.387,0
136.719,32.715,38.574,74.707,78.125,0
-71.289,31.25,36.621,-12.207,-12.207,0
-61.035,31.738,33.691,-11.719,-54.199,0
-73.73,33.203,30.762,-11.23,24.902,0
-67.383,32.227,38.086,-0.488,58.594,0
-13.184,36.133,33.691,5.859,45.41,0
-32.227,29.785,38.086,6.348,20.508,0
-65.918,30.273,41.504,-7.324,59.57,0
-15.625,28.809,34.18,-5.371,6.348,0
81.543,27.832,33.691,47.852,9.277,0
-39.551,30.762,36.621,-8.301,11.23,0
17.578,33.691,31.738,9.277,12.695,0
157.227,41.504,37.109,66.895,55.664,0
-34.18,38.574,39.551,-6.348,-2.441,0
-61.035,35.645,32.715,1.953,69.336,0
81.055,34.668,34.668,41.016,-2.93,0
-64.941,35.645,36.133,4.395,-0.977,0
117.676,35.156,30.762,60.059,34.18,0
135.742,34.18,29.297,71.289,-20.508,0
-3.418,34.18,27.344,18.555,-39.062,0
62.5,38.086,32.715,54.199,20.508,0
-29.785,36.133,34.18,9.766,14.16,0
-50.781,34.18,39.062,-1.953,2.93,0
79.102,29.785,31.738,50.293,40.039,0
126.953,33.691,35.645,58.105,25.391,0
17.09,34.18,34.668,17.09,26.367,0
-43.945,30.762,36.133,-1.953,26.367,0
68.359,35.156,31.738,47.363,34.18,0
-62.012,28.809,33.691,-14.16,-46.875,0
15.137,37.109,37.598,18.555,-20.02,0
-33.691,44.434,36.621,-3.906,50.293,0
-99.609,44.434,37.109,-25.391,69.336,0
11.23,40.527,36.621,11.23,13.672,0
5.859,36.133,32.227,18.555,50.781,0
-90.332,37.109,31.738,-26.855,20.996,0
-4.883,35.156,32.227,-5.371,6.348,0
143.066,31.25,34.18,56.641,24.902,0
-39.062,31.25,35.156,-2.93,16.602,0
-68.848,25.879,33.203,-1.465,20.508,0
-65.43,36.133,26.855,-12.207,2.441,0
-55.176,35.156,34.18,-13.184,59.082,0
28.32,36.621,35.156,24.902,-18.555,0
-66.406,36.621,37.109,-8.301,11.719,0
